String,Ref. Ten. (lbs),Swing Speed,Material,Gauge Nominal (mm),Gauge Acutal (mm),Stretch at 40 lbs (%),Stretch at 51 lbs (%),Stretch at 62 lbs (%),Actual Pre-impact Tension (lbs),Dwell Time (ms),Deflection (mm),Tension Change (lbs),Peak Tension (lbs),Peak Perp. Force (lbs),Ave Perp. Force (lbs),Stiffness (lb/in),Static Loss lbs.,Stabilization Loss (lbs),Impact Loss (lbs).,Total Loss (lbs),Tension Loss (%),Energy Return (%),String/String COF,String/Ball COF,Spin Potential
Ashaway Dynamite WB 16,51,Medium,Nylon/Zyex,1.34,1.41,NA,NA,9.1,34.55,39.2,28.1,26.7,61.3,21.5,,137.2,6.17,10,0.17,16.3,32.2,92.9,0.142,0.466,3.3
Babolat FiberTour 16,51,Medium,Nylon,1.3,1.34,6.7,7.6,8.8,39.43,36.9,26.8,29.3,68.8,23.1,,165.7,7.01,4.28,0.05,11.2,22.3,95.8,0.123,0.387,3.1
Babolat Pro Hurricane 18,51,Medium,Polyester,1.2,NA,2.4,3,3.9,32.57,37.2,26.4,36.2,68.8,22.7,,210.9,5.69,12.46,0.31,18.5,36.4,91.4,0.12,0.393,3.3
Babolat Pro Hurricane Tour 16,51,Medium,Polyester,1.3,1.32,1.8,2.4,3.6,27.87,36.8,26.7,45,72.8,24.3,,256.6,8.93,13.92,0.22,23.2,45.5,90.1,0.077,0.396,5.1
Babolat Pro Hurricane 17,51,Medium,Polyester,1.25,1.25,2.4,3.6,4.5,30.1,37.5,27,38.1,68.1,23,,212,7.78,12.84,0.24,20.9,41.1,92,0.122,0.374,3.1
Babolat Pro Hurricane 16,51,Medium,Polyester,1.3,1.3,NA,NA,3.9,31.24,36.7,26.7,39.9,71.2,23.8,,226.9,7.85,11.63,0.24,19.6,38.9,92,NA,NA,NA
Babolat Duralast 16,51,Medium,Polyester,1.3,1.31,1.5,2.7,3.9,26.81,38,27.6,43,69.9,24.1,,230.3,8.14,15.77,0.39,24.3,47.9,89.3,NA,NA,NA
Babolat VS Natural Team Gut 17 (1.25),51,Medium,Gut,1.25,1.27,4.5,6.7,8.5,43.92,37.9,26.7,16.3,60.4,20.1,,93.2,4.9,1.9,0.35,7.1,14.1,97.4,0.147,NA,0
Babolat Xcel Premium 17,51,Medium,Nylon,1.25,1.27,7.3,8.5,9.4,40.95,37.2,26.2,26.7,67.5,22.1,,157.7,5.03,4.74,-0.02,9.7,19.2,95.8,0.12,NA,0
Babolat SG SpiralTek 16,51,Medium,Nylon,1.3,NA,8.2,9.1,10.3,43.84,36.7,27,28.9,72.8,24.6,12.7,160.6,4.1,2.78,0.29,7.1,14.1,95.1,0.09,0.37,4.1
